#Date: 2023-11-08 10:20:32
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status time-taken
2023-11-08 10:20:44 ::1 GET /Login/Login.html ReturnUrl=%2FServiceModel%2FUserInfoService.svc%2FGetCurrentUserInfo 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 200 3
2023-11-08 10:20:44 ::1 GET /Login/Login.html ReturnUrl=%2Frest%2FFeatureService%2FGetFeatureStates 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 200 6
2023-11-08 10:20:44 ::1 GET /ClientApp/index.html - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 304 1
2023-11-08 10:20:44 ::1 POST /ServiceModel/UserInfoService.svc/GetCurrentUserInfo - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 302 2
2023-11-08 10:20:44 ::1 POST /rest/FeatureService/GetFeatureStates - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 302 3
2023-11-08 10:20:44 ::1 GET /Login/Login.html ReturnUrl=%2FServiceModel%2FUserInfoService.svc%2FGetCurrentUserInfo 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 200 2
2023-11-08 10:20:44 ::1 GET /Login/Login.html ReturnUrl=%2Frest%2FFeatureService%2FGetFeatureStates 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 200 3
2023-11-08 10:20:44 ::1 GET /ClientApp/index.html - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 304 1
2023-11-08 10:20:45 ::1 POST /ServiceModel/UserInfoService.svc/GetCurrentUserInfo - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 302 2
2023-11-08 10:20:45 ::1 POST /rest/FeatureService/GetFeatureStates - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 302 3
2023-11-08 10:20:45 ::1 GET /Login/Login.html ReturnUrl=%2Frest%2FFeatureService%2FGetFeatureStates 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 200 7
2023-11-08 10:20:45 ::1 GET /Login/Login.html ReturnUrl=%2FServiceModel%2FUserInfoService.svc%2FGetCurrentUserInfo 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 200 7
2023-11-08 10:20:45 ::1 GET /ClientApp/index.html - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 304 2
2023-11-08 10:20:46 ::1 POST /ServiceModel/UserInfoService.svc/GetCurrentUserInfo - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 302 2
2023-11-08 10:20:46 ::1 POST /rest/FeatureService/GetFeatureStates - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 302 3
2023-11-08 10:20:46 ::1 GET /Login/Login.html ReturnUrl=%2FServiceModel%2FUserInfoService.svc%2FGetCurrentUserInfo 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 200 3
2023-11-08 10:20:46 ::1 GET /Login/Login.html ReturnUrl=%2Frest%2FFeatureService%2FGetFeatureStates 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 200 4
2023-11-08 10:20:46 ::1 GET /ClientApp/index.html - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/ClientApp/ 304 1
2023-11-08 10:20:46 ::1 GET /Shell/index.html - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36  200 8
